time,Solar8000/ART_MBP,Solar8000/ETCO2,SNUADC/ECG_II,SNUADC/ECG_V5,Solar8000/ART_DBP,SNUADC/CVP,Solar8000/CVP,Solar8000/ART_SBP,Solar8000/RR_CO2,Solar8000/PLETH_HR,Solar8000/HR,SNUADC/ART,Solar8000/PLETH_SPO2
370,-3,,NaN,NaN,-8,NaN,0,5,,57,56,NaN,99
371,,,NaN,NaN,,NaN,,,,,,NaN,
372,-3,,NaN,NaN,-6,NaN,0,0,,57,57,NaN,99
373,,,NaN,NaN,,NaN,,,,,,NaN,
374,-3,,NaN,NaN,-5,NaN,0,0,,57,56,NaN,99
375,,,NaN,NaN,,NaN,,,,,,NaN,
376,-3,,NaN,NaN,,NaN,0,,,57,56,NaN,99
377,,,NaN,NaN,,NaN,,,,,,NaN,
378,-2,,NaN,NaN,,NaN,0,,,56,55,NaN,99
379,,,NaN,NaN,,NaN,,,,,,NaN,
380,-2,,NaN,NaN,,NaN,0,,,56,55,NaN,99
381,,,NaN,NaN,,NaN,,,,,,NaN,
382,-2,,NaN,NaN,,NaN,0,,,55,55,NaN,99
383,,,NaN,NaN,,NaN,,,,,,NaN,
384,-2,,NaN,NaN,,NaN,0,,,55,55,NaN,99
385,,,NaN,NaN,,NaN,,,,,,NaN,
386,-2,,NaN,NaN,,NaN,0,,,56,55,NaN,99
387,,,NaN,NaN,,NaN,,,,,,NaN,
388,-2,,NaN,NaN,,NaN,0,,,56,55,NaN,99
389,,,NaN,NaN,,NaN,,,,,,NaN,
390,-2,,NaN,NaN,-2,NaN,0,-2,,56,55,NaN,99
391,,,NaN,NaN,,NaN,,,,,,NaN,
392,-2,,NaN,NaN,-2,NaN,0,-2,,56,56,NaN,99
393,,,NaN,NaN,,NaN,,,,,,NaN,
394,-2,,NaN,NaN,-2,NaN,0,-2,,56,56,NaN,99
395,,,NaN,NaN,,NaN,,,,,,NaN,
396,-2,,NaN,NaN,-2,NaN,0,-2,,56,56,NaN,99
397,,,NaN,NaN,,NaN,,,,,,NaN,
398,-1,,NaN,NaN,-1,NaN,0,-1,,56,56,NaN,99
399,,,NaN,NaN,,NaN,,,,,,NaN,
400,-1,,NaN,NaN,-1,NaN,0,-1,,56,55,NaN,99
401,,,NaN,NaN,,NaN,,,,,,NaN,
402,-1,,NaN,NaN,-1,NaN,0,-1,,56,55,NaN,99
403,,,NaN,NaN,,NaN,,,,,,NaN,
404,-1,,NaN,NaN,-1,NaN,0,-1,,55,55,NaN,99
405,,,NaN,NaN,,NaN,,,,,,NaN,
406,-1,,NaN,NaN,-1,NaN,0,-1,,55,54,NaN,98
