time,Solar8000/RR_CO2,Solar8000/ETCO2,SNUADC/ART,SNUADC/CVP,Solar8000/PLETH_HR,Solar8000/ART_SBP,SNUADC/ECG_V5,Solar8000/ART_MBP,Solar8000/PLETH_SPO2,Solar8000/CVP,Solar8000/HR,Solar8000/ART_DBP,SNUADC/ECG_II
337,,,NaN,NaN,,,NaN,,,,,,NaN
338,,,NaN,NaN,64,-11,NaN,-11,100,-13,64,-11,NaN
339,,,NaN,NaN,,,NaN,,,,,,NaN
340,,,NaN,NaN,64,-11,NaN,-11,100,-15,64,-11,NaN
341,,,NaN,NaN,,,NaN,,,,,,NaN
342,,,NaN,NaN,65,-11,NaN,-11,100,-15,65,-11,NaN
343,,,NaN,NaN,,,NaN,,,,,,NaN
344,,,NaN,NaN,66,-11,NaN,-11,100,-13,65,-11,NaN
345,,,NaN,NaN,,,NaN,,,,,,NaN
346,,,NaN,NaN,66,-11,NaN,-11,100,-13,66,-11,NaN
347,,,NaN,NaN,,,NaN,,,,,,NaN
348,,,NaN,NaN,67,-11,NaN,-11,100,-12,67,-11,NaN
349,,,NaN,NaN,,,NaN,,,,,,NaN
350,,,NaN,NaN,67,-11,NaN,-11,100,-12,67,-11,NaN
351,,,NaN,NaN,,,NaN,,,,,,NaN
352,,,NaN,NaN,67,-11,NaN,-11,100,-11,66,-11,NaN
353,,,NaN,NaN,,,NaN,,,,,,NaN
354,,,NaN,NaN,66,-11,NaN,-11,100,-11,65,-11,NaN
355,,,NaN,NaN,,,NaN,,,,,,NaN
356,,,NaN,NaN,66,-11,NaN,-11,100,-10,65,-11,NaN
357,,,NaN,NaN,,,NaN,,,,,,NaN
358,,,NaN,NaN,66,-11,NaN,-11,100,-10,65,-11,NaN
359,,,NaN,NaN,,,NaN,,,,,,NaN
360,,,NaN,NaN,65,-11,NaN,-11,100,-10,65,-11,NaN
361,,,NaN,NaN,,,NaN,,,,,,NaN
362,,,NaN,NaN,66,-11,NaN,-11,100,-10,65,-11,NaN
